iter	Logloss
0	0.6780830496
1	0.661541545422	0.648770742433	0.634587488744	0.622249971155	0.60695346
6	6	0.594420167	77	0.582071218	88	0.570223789	99	0.5598953356110	0.551996791
11	0.541598654
12	0.5325561192
13	0.5232279623
14	0.5128553739
15	0.5021606796
16	0.4944523274
17	0.4860370417
18	0.4793536699
19	0.4710322532220	0.4615811344221	0.4537668049222	0.447357861
23	0.4387556907
24	0.4313539934225	0.4255316326226	0.4194117378227	0.4134613184228	0.4079357213229	0.4028493134330	0.3973719875331	0.3904668042332	0.3854347881333	0.3787654655334	0.3743726558335	0.3692224508336	0.3642454971337	0.3589219523338	0.3539468376339	0.3483304489440	0.3433036187441	0.3379993358442	0.3344956022443	0.3304122923444	0.327578965445	0.3225024255446	0.3194333654747	0.3166899448	48	0.3129710249	49	0.3086398650	50	0.3046666351	51	0.301233015252	0.2981054055353	0.293311803554	0.2900697064
55	0.2874673341
56	0.2848775099557	0.2817783461558	0.2787805207559	0.2765137559660	0.273785232661	0.2711629424662	0.2684420726363	0.2660603306464	0.2632095856565	0.2608978266	66	0.2584534967	67	0.2564218868	68	0.2540229969	69	0.2508750570	70	0.2482388771	71	0.2459608972	72	0.2436370573	73	0.2411869774	74	0.2396854475	75	0.2369810276	76	0.2353267277	77	0.2330448978	78	0.2311518476
79	0.2288833798
80	0.2263124786
81	0.223640379
82	0.2225708406
83	0.2202866417
84	0.2186993357
85	0.2163301882
86	0.2150233688
87	0.2132114054
88	0.2114548735
89	0.2104653153
90	0.2092011761
91	0.2080299792
92	0.2061827317
93	0.2041137841
94	0.202501973
95	0.2013266013
96	0.1997824594
97	0.1984367935
98	0.1970123845
99	0.195190711
100	0.1938210575
101	0.1918112703
102	0.1903311516
103	0.1887594486
104	0.1875517437
105	0.1856407743
106	0.1841588232
107	0.1830911617
108	0.1817238269
109	0.1798413676
110	0.1785748996
111	0.1769667472
112	0.1755699198
113	0.1738456415
114	0.1731242611
115	0.1718022796
116	0.1709395965
117	0.1696057338
118	0.1683546033
119	0.1672002255
120	0.165800568
121	0.1646088522
122	0.1633167506
123	0.1618048785
124	0.1609024346
125	0.1597812727
126	0.15872386
127	0.157370478
128	0.1560608512
129	0.1548594611
130	0.1537037285
131	0.1526876772
132	0.1514977851
133	0.1503489254
134	0.1487890781
135	0.147714829
136	0.1468079789
137	0.1459668783
138	0.144923722
139	0.1439264497
140	0.1431574917
141	0.1413815773
142	0.1400851314
143	0.13872055
144	0.1376575603
145	0.1365623203
146	0.1355883717
147	0.1348983922
148	0.1336609286
149	0.1327569765
150	0.1318624922
151	0.1309480114
152	0.1298759424
153	0.1292587923
154	0.1284466748
155	0.1275498299
156	0.1266296433
157	0.1256615798
158	0.1249360751
159	0.1240304356
160	0.1231135385
161	0.122367966
162	0.1215005928
163	0.1206912039
164	0.1199582383
165	0.1192962495
166	0.1184979648
167	0.1181234535
168	0.1170480731
169	0.1161441846
170	0.1154327769
171	0.1144532529
172	0.1133616446
173	0.1125615962
174	0.1117136967
175	0.1111369464
176	0.1102966284
177	0.1095615146
178	0.1086046959
179	0.1077467154
180	0.1070953869
181	0.1066038289
182	0.1059342047
183	0.1053928273
184	0.1047210588
185	0.1039902977
186	0.103277387
187	0.1025140586
188	0.1019421938
189	0.1015178837
190	0.1009234998
191	0.1001190697
192	0.09942832492
193	0.09876243423
194	0.0979839894
195	0.09746977419
196	0.09686726502
197	0.09621602862
198	0.09549948691
199	0.09506736137
200	0.09456068687
201	0.0939706897
202	0.09339181631
203	0.09289442161
204	0.09234216311
205	0.091774204
206	0.09133621843
207	0.0909800958
208	0.09050528497
209	0.08991454883
210	0.08932777615
211	0.08877629742
212	0.08815613184
213	0.08773134888
214	0.08724679029
215	0.08679527635
216	0.08627163883
217	0.08574623592
218	0.08512503422
219	0.08475329424
220	0.08433019223
221	0.08400487563
222	0.08323829238
223	0.0826701865
224	0.0821175101
225	0.0815637467
226	0.08115437073
227	0.08073169264
228	0.08013574641
229	0.07960548259
230	0.07906351621
231	0.07848883257
232	0.07801100656
233	0.07758086189
234	0.07702810025
235	0.07652437737
236	0.0760495132
237	0.07563299042
238	0.07531229215
239	0.07503261283
240	0.07461803515
