iter	Passed	Remaining
401	60349	59748
402	60490	59589
403	60617	59416
404	60756	59256
405	60887	59088
406	61032	58933
407	61174	58775
408	61311	58612
409	61445	58448
410	61608	58311
411	61753	58156
412	61893	57996
413	62039	57843
414	62182	57687
415	62320	57526
416	62449	57357
417	62599	57208
418	62732	57043
419	62862	56875
420	62995	56710
421	63140	56556
422	63275	56394
423	63425	56245
424	63569	56090
425	63707	55931
426	63857	55782
427	63998	55624
428	64143	55471
429	64272	55303
430	64406	55141
431	64545	54983
432	64677	54819
433	64806	54652
434	64937	54487
435	65059	54315
436	65199	54158
437	65334	53997
438	65473	53840
439	65621	53690
440	65766	53538
441	65899	53375
442	66033	53214
443	66171	53056
444	66313	52901
445	66469	52758
446	66628	52617
447	66783	52472
448	66915	52310
449	67050	52150
450	67209	52008
451	67358	51859
452	67509	51712
453	67657	51562
454	67798	51407
455	67965	51272
456	68105	51116
457	68241	50957
458	68382	50802
459	68528	50651
460	68682	50506
461	68823	50351
462	68968	50199
463	69109	50045
464	69249	49889
465	69400	49742
466	69548	49592
467	69692	49439
468	69835	49286
469	69977	49133
470	70127	48985
471	70277	48836
472	70432	48692
473	70579	48541
474	70707	48378
475	70840	48219
476	70970	48057
477	71100	47896
478	71223	47730
479	71357	47571
480	71493	47414
481	71641	47265
482	71805	47126
483	71949	46975
484	72085	46818
485	72215	46658
486	72378	46518
487	72521	46366
488	72674	46220
489	72815	46066
490	72944	45906
491	73105	45765
492	73244	45610
493	73381	45454
494	73515	45297
495	73674	45155
496	73817	45003
497	73946	44843
498	74080	44685
499	74211	44526
500	74338	44365
501	74470	44207
502	74597	44046
503	74729	43888
504	74868	43735
505	75003	43579
506	75143	43426
507	75275	43268
508	75415	43115
509	75544	42956
510	75682	42802
511	75829	42653
512	75988	42511
513	76127	42358
514	76268	42206
515	76411	42055
516	76536	41895
517	76686	41748
518	76833	41599
519	76977	41449
520	77118	41297
521	77263	41147
522	77400	40994
523	77547	40845
524	77705	40702
525	77850	40553
526	77995	40403
527	78133	40250
528	78277	40100
529	78423	39951
530	78556	39796
531	78681	39636
532	78806	39477
533	78929	39317
534	79059	39160
535	79193	39005
536	79335	38855
537	79489	38710
538	79624	38556
539	79770	38408
540	79914	38258
541	80037	38098
542	80156	37937
543	80293	37785
544	80427	37631
545	80554	37474
546	80695	37323
547	80842	37175
548	80990	37028
549	81120	36872
550	81259	36721
551	81391	36567
552	81532	36416
553	81676	36267
554	81817	36117
555	81987	35980
556	82136	35833
557	82271	35680
558	82404	35526
559	82547	35377
560	82684	35225
561	82834	35079
562	82988	34934
563	83116	34779
564	83253	34627
565	83391	34476
566	83531	34325
567	83655	34169
568	83790	34017
569	83953	33875
570	84087	33723
571	84236	33576
572	84374	33425
573	84507	33272
574	84646	33122
575	84792	32975
576	84947	32830
577	85089	32681
578	85224	32529
579	85365	32379
580	85508	32231
581	85660	32085
582	85790	31932
583	85943	31787
584	86080	31636
585	86215	31485
586	86355	31335
587	86489	31183
588	86625	31032
589	86766	30882
590	86909	30734
591	87054	30586
592	87190	30435
593	87330	30286
594	87482	30141
595	87615	29989
596	87761	29841
597	87890	29688
598	88016	29534
599	88151	29383
600	88281	29231
601	88410	29078
602	88539	28925
603	88670	28773
604	88801	28621
605	88939	28472
606	89072	28321
607	89208	28171
608	89338	28019
609	89471	27868
610	89611	27719
611	89756	27572
612	89897	27423
613	90037	27275
614	90185	27128
615	90314	26976
616	90443	26825
617	90578	26675
618	90710	26524
619	90846	26374
620	90977	26223
621	91127	26078
622	91253	25925
623	91389	25776
624	91538	25630
625	91684	25484
626	91844	25341
627	91990	25194
628	92121	25044
629	92256	24894
630	92399	24747
631	92533	24597
632	92668	24448
633	92806	24299
634	92951	24152
635	93098	24006
636	93241	23859
637	93377	23710
638	93530	23565
639	93675	23418
640	93825	23273
641	93973	23127
642	94118	22980
643	94282	22838
644	94422	22690
645	94574	22545
646	94706	22395
647	94834	22245
648	94979	22098
649	95136	21954
650	95285	21808
651	95422	21660
652	95575	21515
653	95716	21368
654	95847	21218
655	95985	21069
656	96114	20919
657	96254	20772
658	96387	20623
659	96514	20472
660	96651	20324
661	96793	20177
662	96927	20028
663	97065	19880
664	97213	19735
665	97368	19590
666	97505	19442
667	97647	19295
668	97787	19148
669	97914	18998
670	98052	18850
671	98195	18703
672	98324	18554
673	98456	18405
674	98590	18257
675	98718	18108
676	98844	17958
677	98969	17808
678	99112	17662
679	99248	17514
680	99386	17367
681	99520	17219
682	99667	17073
683	99800	16925
684	99961	16781
685	100119	16637
686	100262	16491
687	100414	16346
688	100550	16198
689	100685	16051
690	100815	15902
691	100948	15754
692	101082	15607
693	101216	15459
694	101365	15314
695	101501	15166
696	101629	15018
697	101751	14869
698	101877	14720
699	102010	14572
700	102135	14424
701	102274	14277
702	102418	14131
703	102563	13985
704	102701	13839
705	102845	13693
706	102994	13548
707	103141	13402
708	103283	13256
709	103416	13109
710	103553	12962
711	103693	12816
712	103849	12671
713	103996	12526
714	104139	12380
715	104285	12234
716	104412	12086
717	104570	11942
718	104704	11795
719	104827	11647
720	104965	11501
721	105100	11354
722	105243	11208
723	105372	11061
724	105507	10914
725	105647	10768
726	105789	10622
727	105953	10478
728	106098	10333
729	106220	10185
730	106355	10038
731	106491	9892
732	106643	9747
733	106805	9603
734	106939	9457
735	107068	9310
736	107189	9162
737	107309	9015
738	107427	8867
739	107554	8720
740	107688	8574
741	107818	8427
742	107958	8282
743	108090	8135
744	108218	7989
745	108338	7842
746	108449	7694
747	108559	7546
748	108657	7398
749	108764	7250
750	108868	7103
751	108961	6954
752	109050	6806
753	109146	6658
754	109253	6511
755	109384	6366
756	109476	6218
757	109571	6071
758	109677	5924
759	109774	5777
760	109869	5630
761	109951	5483
762	110043	5336
763	110140	5189
764	110240	5043
765	110351	4898
766	110440	4751
767	110532	4605
768	110624	4459
769	110715	4313
770	110807	4167
771	110905	4022
772	111011	3877
773	111138	3733
774	111245	3588
775	111340	3443
776	111437	3298
777	111529	3153
778	111631	3009
779	111727	2864
780	111841	2720
781	111933	2576
782	112025	2432
783	112123	2288
784	112222	2144
785	112319	2000
786	112412	1856
787	112475	1712
788	112524	1568
789	112574	1424
790	112622	1281
791	112695	1138
792	112754	995
793	112809	852
794	112860	709
795	112910	567
796	112961	425
797	113011	283
798	113061	141
799	113108	0
